scenario_name,has_minimized,cov_time,strm,statm,covm,rse50_check,rse30_check,which_bad_rse,bad_rse_values
strm_1_statm_2_covm_3_clint_pooled_covs_unchanged,TRUE,00:04:39,1,2,3,TRUE,TRUE,,
strm_2_statm_2_covm_3_clint_pooled_covs_unchanged,TRUE,00:06:57,2,2,3,TRUE,TRUE,,
strm_3_statm_2_covm_3_clint_pooled_covs_unchanged,TRUE,00:10:32,3,2,3,TRUE,FALSE,,
strm_4_statm_2_covm_3_clint_pooled_covs_unchanged,TRUE,00:25:34,4,2,3,TRUE,FALSE,,
strm_2_statm_1_covm_3_clint_pooled_covs_unchanged,TRUE,00:07:13,2,1,3,TRUE,TRUE,,
strm_2_statm_3_covm_3_clint_pooled_covs_unchanged,TRUE,00:06:51,2,3,3,TRUE,TRUE,,
strm_2_statm_4_covm_3_clint_pooled_covs_unchanged,TRUE,00:07:07,2,4,3,TRUE,TRUE,,
strm_2_statm_5_covm_3_clint_pooled_covs_unchanged,TRUE,00:07:12,2,5,3,TRUE,TRUE,,
strm_2_statm_6_covm_3_clint_pooled_covs_unchanged,TRUE,00:00:05,2,6,3,TRUE,TRUE,,
strm_2_statm_7_covm_3_clint_pooled_covs_unchanged,TRUE,00:00:05,2,7,3,TRUE,TRUE,,
strm_2_statm_8_covm_3_clint_pooled_covs_unchanged,TRUE,00:00:06,2,8,3,TRUE,FALSE,,
strm_2_statm_9_covm_3_clint_pooled_covs_unchanged,TRUE,00:06:59,2,9,3,TRUE,FALSE,,
strm_2_statm_10_covm_3_clint_pooled_covs_unchanged,TRUE,00:04:44,2,10,3,TRUE,FALSE,,
strm_2_statm_11_covm_3_clint_pooled_covs_unchanged,TRUE,00:07:26,2,11,3,TRUE,FALSE,,
strm_2_statm_12_covm_3_clint_pooled_covs_unchanged,TRUE,00:07:24,2,12,3,TRUE,TRUE,,
strm_2_statm_13_covm_3_clint_pooled_covs_unchanged,TRUE,00:06:59,2,13,3,TRUE,TRUE,,
strm_2_statm_1_covm_1_clint_pooled_covs_unchanged,TRUE,00:06:59,2,1,1,TRUE,TRUE,,
strm_2_statm_1_covm_2_clint_pooled_covs_unchanged,TRUE,00:07:15,2,1,2,TRUE,TRUE,,
strm_2_statm_1_covm_4_clint_pooled_covs_unchanged,TRUE,00:07:18,2,1,4,TRUE,TRUE,,
