SSE run info
"","          Date","   samples run","simulation model","   PsN version","NONMEM version","Sim. with uncertainty",
"",    2025-11-15,           200,strm_2_statm_10_covm_3_clint_pooled_covs_unchanged.mod,        v5.3.0,       default,            no,
Reference/True values
"","           ofv","        THETA1","        THETA2","        THETA3","        THETA4","        THETA5","        THETA6","        THETA7","    OMEGA(1,1)","    OMEGA(2,2)","    OMEGA(3,3)","    SIGMA(1,1)",
"",Sim. model result,           628,          1900,          22.9,          0.75,          19.2,        0.0021,        0.2915,     0.3074847,     0.1844027,     0.3074847,          0.16,

Simulation model
Samples completed: 200
"","           ofv","          TH_1","          TH_2","          TH_3","          TH_4","          TH_5","          TH_6","          TH_7","          OM_1","          OM_2","          OM_3","          SI_1",
"          mean",-11062.4923441197,      639.7687,       1935.99,      24.43324,     0.7341549,      21.01883,   0.002002004,     0.2821256,     0.2569424,      0.184403,     0.3076741,     0.1630812,
"        median",-11061.3587860313,       639.129,       1927.42,       24.3432,     0.7362575,       21.0287,    0.00202089,     0.2843065,       0.25867,      0.184403,      0.307176,     0.1631315,
"            sd",      207.5579,      39.25945,       103.874,      1.527412,    0.07826957,     0.5714103,  0.0005606018,    0.07481639,    0.05232395,1.66951355112938e-16,    0.02151506,   0.005324338,
"           max",-10501.093746977131,       740.081,       2242.48,        28.555,       1.00375,       22.8517,    0.00379273,      0.426832,      0.409773,      0.184403,      0.365985,      0.178588,
"           min",-11687.494885716718,       530.033,       1713.63,       20.4911,      0.549085,       19.4782,   0.000616458,      0.023755,       0.12457,      0.184403,      0.248109,      0.150289,
"      skewness",    0.05380299,    0.02463943,     0.2369582,     0.3081374,     0.3467457,    0.03495058,     0.1743381,-0.385076499196536,     0.1032532,-1.00757259309394,-0.0492414898769158,     0.1339858,
"      kurtosis",   0.004021794,-0.184405371974349,-0.0100054283033582,    0.05461313,     0.7044522,      0.250574,     0.4091123,     0.1290354,-0.0720857948463296,-2.02030456852792,    0.03877156,-0.122555835642374,
"          rmse",              ,      40.89131,      109.6866,      2.161517,    0.07966532,      1.906052,  0.0005677202,    0.07521559,    0.07265418,2.77002220716582e-07,    0.02146204,   0.006140096,
" relative_rmse",              ,      6.511355,       5.77298,       9.43894,      10.62204,      9.927352,       27.0343,      25.80295,      23.62855,  0.0001502159,      6.979873,       3.83756,
"          bias",              ,      11.76865,      35.99035,      1.533244,  -0.015845145,      1.818834,-9.79961649999998e-05,-0.00937444099999998,-0.0505422897479605,2.77002220716582e-07,  0.0001894203,   0.003081225,
" relative_bias",              ,      1.873989,      1.894229,      6.695386,     -2.112686,      9.473091,-4.66648404761904,-3.21593173241852,-16.4373348623164,  0.0001502159,    0.06160315,      1.925766,
"relative_absolute_bias",              ,      1.873989,      1.894229,      6.695386,     -2.112686,      9.473091,-4.66648404761904,-3.21593173241852,-16.4373348623164,  0.0001502159,    0.06160315,      1.925766,
"           rse",              ,     0.4420482,     0.3865789,     0.4716346,     0.7379326,     0.2104417,      1.887644,       1.81486,      1.203267,6.40188135020456e-15,     0.4947708,     0.2353047,
"standard error CI",
"          0.5%",              ,     0.7335045,     0.8968555,      5.478569,-4.01655200814783,      8.930151,-9.53660670282387,-7.89827142906198,-19.5417636711019,  0.0001502159,-1.21490544460901,      1.318679,
"          2.5%",              ,      1.007574,      1.136534,      5.770983,-3.55903382014331,      9.060625,-8.36626715002271,-6.77305801358952,-18.7957381434092,  0.0001502159,-0.908147565970027,      1.464568,
"            5%",              ,       1.14682,      1.258307,      5.919548,-3.32658506333457,      9.126915,-7.77165915142212,-6.20137700411561,-18.4167090446622,  0.0001502159,-0.752294772790544,      1.538689,
"           95%",              ,      2.601158,      2.530151,      7.471225,-0.898786936665439,      9.819268,-1.56130894381596,-0.230486460721425,-14.4579606799707,  0.0001502159,     0.8755011,      2.312842,
"         97.5%",              ,      2.740403,      2.651923,       7.61979,-0.666338179856693,      9.885557,-0.966700945215372,     0.3411945,-14.0789315812236,  0.0001502159,      1.031354,      2.386963,
"         99.5%",              ,      3.014473,      2.891602,      7.912204,-0.208819991852176,      10.01603,     0.2036386,      1.466408,-13.332906053531,  0.0001502159,      1.338112,      2.532852,
