SSE run info
"","          Date","   samples run","simulation model","   PsN version","NONMEM version","Sim. with uncertainty",
"",    2025-11-15,           200,strm_2_statm_3_covm_17_clint_pooled_covs_unchanged.mod,        v5.3.0,       default,            no,
Reference/True values
"","           ofv","        THETA1","        THETA2","        THETA3","        THETA4","        THETA5","        THETA6","    OMEGA(1,1)","    OMEGA(2,2)","    OMEGA(3,3)","    SIGMA(1,1)",
"",Sim. model result,           628,          1900,          22.9,          0.75,          19.2,        0.0051,     0.1844027,     0.1844027,     0.3074847,          0.04,

Simulation model
Samples completed: 200
"","           ofv","          TH_1","          TH_2","          TH_3","          TH_4","          TH_5","          TH_6","          OM_1","          OM_2","          OM_3","          SI_1",
"          mean",-14565.7544552706,      641.2261,      1924.264,      23.52775,     0.7383043,       19.8983,   0.005081843,     0.1746296,     0.1480377,     0.3082478,    0.04024507,
"        median",-14576.8089024708,       642.577,      1923.305,      23.55025,     0.7333225,       19.9003,   0.005089755,      0.173408,     0.1426095,     0.3083785,    0.04025665,
"            sd",      203.4978,      23.70044,      52.39493,     0.7917833,    0.05422787,     0.4780063,  0.0005006773,    0.03108475,    0.05285372,    0.01771801,   0.001292778,
"           max",-14045.598364670994,       708.694,       2069.52,       25.6545,      0.917611,       21.1898,    0.00641609,      0.272556,      0.298257,      0.358434,     0.0435413,
"           min",-15321.099998326697,       587.376,       1794.37,       21.2381,      0.618083,       18.8664,    0.00338795,     0.0937092,     0.0109079,      0.254605,     0.0363302,
"      skewness",-0.0178901949966254,     0.0662994,      0.122185,    0.02197951,     0.4668631,    0.08335941,-0.153258292463547,      0.349805,     0.2389789,     0.1140575,-0.16197971616026,
"      kurtosis",     0.4827975,-0.362998628361369,-0.295967177360297,    0.02430187,     0.3447373,-0.364782233074787,     0.3246127,      0.133723,-0.0226193788836775,   0.003000009,     0.0942775,
"          rmse",              ,      27.08936,      57.62152,      1.008886,    0.05534209,     0.8455605,   0.000499754,    0.03251068,    0.06404654,    0.01769012,   0.001312622,
" relative_rmse",              ,      4.313593,      3.032712,      4.405616,      7.378946,      4.403961,      9.799098,      17.63026,      34.73188,      5.753172,      3.281555,
"          bias",              ,      13.22615,       24.2639,      0.627746,   -0.01169566,     0.6983015,-1.81568000000003e-05,-0.00977311699777929,-0.0363649739977793,  0.0007630653,   0.000245068,
" relative_bias",              ,      2.106075,      1.277047,      2.741249,-1.55942133333334,      3.636987,-0.356015686274515,-5.29987672573413,-19.7204105268105,     0.2481636,       0.61267,
"relative_absolute_bias",              ,      2.106075,      1.277047,      2.741249,-1.55942133333334,      3.636987,-0.356015686274515,-5.29987672573413,-19.7204105268105,     0.2481636,       0.61267,
"           rse",              ,      0.266859,     0.1949938,      0.244487,     0.5112653,     0.1760425,      0.694181,      1.191969,      2.026717,      0.407452,      0.228533,
"standard error CI",
"          0.5%",              ,      1.417579,     0.7739635,      2.110472,-2.87848574511108,      3.182797,-2.14700272860873,-8.37515719720345,-24.9493415950757,-0.803062453111372,    0.02305493,
"          2.5%",              ,      1.583031,     0.8948596,      2.262054,-2.56150127406372,      3.291944,-1.71661049362919,-7.63613630871083,-23.6927767647174,-0.55044222694223,     0.1647454,
"            5%",              ,      1.667092,     0.9562826,      2.339068,-2.40045271216062,      3.347397,-1.49794347101862,-7.26066601858957,-23.0543607621967,-0.422094853969198,     0.2367333,
"           95%",              ,      2.545058,      1.597812,       3.14343,-0.718389954506052,      3.926577,     0.7859121,-3.33908743287869,-16.3864602914244,     0.9184222,     0.9886067,
"         97.5%",              ,      2.629118,      1.659235,      3.220443,-0.557341392602955,       3.98203,      1.004579,-2.96361714275744,-15.7480442889036,       1.04677,      1.060595,
"         99.5%",              ,      2.794571,      1.780131,      3.372025,-0.240356921555589,      4.091177,      1.434971,-2.22459625426481,-14.4914794585453,       1.29939,      1.202285,
