SSE run info
"","          Date","   samples run","simulation model","   PsN version","NONMEM version","Sim. with uncertainty",
"",    2025-11-15,           200,strm_2_statm_3_covm_19_clint_pooled_covs_unchanged.mod,        v5.3.0,       default,            no,
Reference/True values
"","           ofv","        THETA1","        THETA2","        THETA3","        THETA4","        THETA5","        THETA6","        THETA7","        THETA8","    OMEGA(1,1)","    OMEGA(2,2)","    OMEGA(3,3)","    SIGMA(1,1)",
"",Sim. model result,           628,          1900,          22.9,          0.75,          19.2,        0.0069,        0.0021,        0.2915,     0.1844027,     0.1844027,     0.3074847,          0.04,

Simulation model
Samples completed: 200
"","           ofv","          TH_1","          TH_2","          TH_3","          TH_4","          TH_5","          TH_6","          TH_7","          TH_8","          OM_1","          OM_2","          OM_3","          SI_1",
"          mean",-14422.5168788141,      640.4687,      1928.167,      23.53138,     0.7354607,      19.85501,   0.007123366,   0.002090761,     0.2914066,     0.1725419,     0.1427875,     0.3040463,    0.04013142,
"        median",-14412.1517097792,       639.056,       1925.46,      23.50795,      0.729812,      19.83285,   0.006979555,    0.00212944,      0.290846,     0.1733655,     0.1366045,     0.3049435,     0.0400924,
"            sd",      187.9366,      25.92196,      53.43149,     0.8094347,    0.05475832,     0.4799275,   0.001994561,  0.0005227151,    0.07004854,    0.02660758,    0.05318941,    0.01870796,   0.001235185,
"           max",-13975.823349600178,       713.782,       2104.47,       26.0872,      0.927286,       20.9702,     0.0137197,    0.00323575,      0.450961,       0.23697,      0.308299,      0.348677,     0.0436758,
"           min",-14955.995418112674,       561.875,       1786.17,       21.0756,      0.576949,       18.5675,    0.00184092,   0.000778909,      0.123184,      0.109443,    0.00719229,      0.259773,     0.0373946,
"      skewness",-0.0899938221201619,     0.1911594,    0.07680981,     0.1677517,      0.362099,-0.000394860060849714,     0.1561561,-0.278967735820769,-0.124321890370809,    0.08764545,     0.2887488,-0.0960745406866013,     0.2459642,
"      kurtosis",    0.02438833,     0.2538363,     0.3008296,     0.8125811,     0.8525766,-0.381179158519473,-0.00474717054077178,-0.143776831107688,-0.269020446742343,-0.51393572689054,     0.3269675,-0.721921758693729,-0.2175829764709,
"          rmse",              ,      28.70639,      60.28298,      1.024961,     0.0565232,     0.8113069,   0.002002068,  0.0005214885,    0.06987326,    0.02907066,     0.0674299,    0.01897526,   0.001239083,
" relative_rmse",              ,      4.571081,      3.172789,      4.475812,      7.536426,      4.225557,      29.01548,      24.83279,      23.97024,      15.76477,      36.56665,      6.171122,      3.097707,
"          bias",              ,       12.4687,      28.16715,     0.6313765,   -0.01453926,     0.6550115,  0.0002233663,-9.23853999999982e-06,-9.34299999999791e-05,-0.0118608379977793,-0.0416151800477793,-0.0034383947479605,   0.000131423,
" relative_bias",              ,      1.985462,      1.482482,      2.757103,     -1.938568,      3.411518,      3.237193,-0.439930476190468,-0.0320514579759796,-6.43202974715407,-22.5675518079418,-1.11823279362482,     0.3285575,
"relative_absolute_bias",              ,      1.985462,      1.482482,      2.757103,     -1.938568,      3.411518,      3.237193,-0.439930476190468,-0.0320514579759796,-6.43202974715407,-22.5675518079418,-1.11823279362482,     0.3285575,
"           rse",              ,     0.2918725,     0.1988514,     0.2499374,     0.5162664,       0.17675,      2.044011,      1.760073,      1.699204,      1.020289,       2.03959,     0.4302173,      0.218352,
"standard error CI",
"          0.5%",              ,      1.232431,     0.9694449,      2.112264,-3.27053537948579,      2.955503,-2.03635645454082,-4.98091936042272,-4.41599784522299,-9.06437478829152,-27.8296938296964,-2.22819352736305,-0.23479065079446,
"          2.5%",              ,      1.413392,      1.092733,      2.267225,-2.95045019526827,      3.065088,-0.769069435524663,-3.88967396963823,-3.36249134906286,-8.43179574739803,-26.5651480725306,-1.96145877739495,-0.0994124130066442,
"            5%",              ,      1.505331,      1.155371,      2.345956,-2.78782627102873,      3.120764,-0.125205869411615,-3.33525090819126,-2.82724208085247,-8.11040478307311,-25.9226772442931,-1.82594031571761,-0.0306315341305767,
"           95%",              ,      2.465592,      1.809592,       3.16825,-1.08930972897128,      3.702272,      6.599591,       2.45539,      2.763139,-4.75365471123504,-19.2124263715905,-0.410525271532026,     0.6877465,
"         97.5%",              ,      2.557532,       1.87223,       3.24698,-0.926685804731733,      3.757948,      7.243455,      3.009813,      3.298388,-4.43226374691012,-18.5699555433531,-0.275006809854683,     0.7565274,
"         99.5%",              ,      2.738493,      1.995518,      3.401941,-0.606600620514219,      3.867533,      8.510742,      4.101058,      4.351895,-3.79968470601662,-17.3054097861872,-0.00827205988657953,     0.8919057,
