SSE run info
"","          Date","   samples run","simulation model","   PsN version","NONMEM version","Sim. with uncertainty",
"",    2025-11-16,           200,strm_2_statm_3_covm_29_clint_pooled_covs_unchanged.mod,        v5.3.0,       default,            no,
Reference/True values
"","           ofv","        THETA1","        THETA2","        THETA3","        THETA4","        THETA5","        THETA6","        THETA7","        THETA8","        THETA9","       THETA10","       THETA11","    OMEGA(1,1)","    OMEGA(2,2)","    OMEGA(3,3)","    SIGMA(1,1)",
"",Sim. model result,           628,          1900,          22.9,          0.75,          19.2,        0.0013,        0.1839,        0.0025,        0.1505,        0.0044,        0.0076,     0.1844027,     0.1844027,     0.3074847,          0.04,

Simulation model
Samples completed: 200
"","           ofv","          TH_1","          TH_2","          TH_3","          TH_4","          TH_5","          TH_6","          TH_7","          TH_8","          TH_9","         TH_10","         TH_11","          OM_1","          OM_2","          OM_3","          SI_1",
"          mean",-14362.5641353379,      643.6395,      1921.046,       23.5165,     0.7463879,      19.85767,    0.00127792,     0.1873045,   0.002385875,     0.1453524,    0.00409802,   0.005397415,     0.1743569,      0.134596,     0.3053798,    0.03989951,
"        median",-14370.7847672546,      646.5365,      1916.835,      23.52185,      0.742289,       19.8516,    0.00124687,     0.1870485,    0.00251842,     0.1566045,    0.00463529,    0.00482257,     0.1725195,     0.1285195,      0.306739,     0.0399149,
"            sd",      197.3295,       27.8118,      61.35241,     0.7992312,     0.0639374,     0.5156846,  0.0005712244,     0.0692161,   0.001898031,     0.1137858,   0.006735237,    0.01176416,    0.02941374,    0.06374383,    0.01811515,   0.001236062,
"           max",-13786.812769074162,       714.726,       2101.56,       25.5722,      0.929278,       21.1311,    0.00273883,      0.361191,    0.00742086,       0.36337,     0.0261422,     0.0405563,      0.248978,      0.400627,      0.346965,     0.0431645,
"           min",-14854.952914333289,       576.374,       1767.11,       21.5943,      0.596466,       18.5259,  -0.000345063,    -0.0362383,   -0.00286593,      -0.23861,    -0.0147689,    -0.0233569,      0.105296,   1.84403e-05,      0.255373,     0.0362369,
"      skewness",     0.1242077,-0.0755932199453508,     0.2280544,-0.065076797829489,     0.1269206,-0.103249281125645,-0.188715812861169,-0.21053646895501,-0.256842832259141,-0.589715939982653,-0.189813468948416,      0.154303,     0.2064172,     0.6811255,-0.0632756647307983,-0.0373243441643966,
"      kurtosis",   0.005562837,-0.138881941512977,-0.154392117803883,-0.0709294902987656,-0.258975463528376,-0.312557497289137,-0.134030315131862,    0.08409149,     0.0882594,     0.2404853,     0.1202787,    0.08962679,-0.363613029958324,     0.9235061,-0.314766880439254,     0.2125203,
"          rmse",              ,      31.84687,      64.71649,      1.007794,    0.06387956,     0.8349396,  0.0005702222,    0.06912673,   0.001896716,     0.1136176,   0.006725161,    0.01193963,    0.03101228,    0.08076925,    0.01819198,   0.001237056,
" relative_rmse",              ,      5.071157,      3.406131,      4.400848,      8.517275,      4.348644,      43.86325,       37.5893,      75.86866,      75.49344,      152.8446,      157.1004,      16.81769,      43.80047,      5.916386,       3.09264,
"          bias",              ,      15.63952,       21.0458,        0.6165,-0.00361214000000003,      0.657665,-2.20801329999999e-05,    0.00340445,-0.000114124668,-0.00514756310499999,-0.000301980337,-0.00220258499,-0.0100458629977793,-0.0498067567962793,-0.0021048697479605,-0.000100491000000001,
" relative_bias",              ,      2.490369,      1.107674,       2.69214,-0.481618666666669,      3.425339,-1.69847176923076,      1.851251,   -4.56498672,-3.42030771096345,-6.86318947727273,-28.9813814473684,-5.44778451991746,-27.0097729505215,-0.684544547968021,-0.251227500000002,
"relative_absolute_bias",              ,      2.490369,      1.107674,       2.69214,-0.481618666666669,      3.425339,-1.69847176923076,      1.851251,   -4.56498672,-3.42030771096345,-6.86318947727273,-28.9813814473684,-5.44778451991746,-27.0097729505215,-0.684544547968021,-0.251227500000002,
"           rse",              ,     0.3131514,       0.22833,     0.2467868,     0.6028075,     0.1899188,      3.107051,      2.661402,      5.368442,      5.346093,      10.82394,      10.94541,      1.127893,      2.444307,     0.4165847,     0.2185069,
"standard error CI",
"          0.5%",              ,      1.682438,     0.5185822,       2.05543,-2.03686213891537,      2.935348,-9.71466380364335,-5.01516536641828,-18.4155675019891,-17.2132270377454,-34.7889440787098,-57.2205499421249,-8.35774835724372,-33.3160856151057,-1.75933307006271,-0.814975281965809,
"          2.5%",              ,      1.876592,     0.6601468,      2.208438,-1.66312145953777,      3.053098,-7.78829207444343,-3.36509632875398,-15.0871333605808,-13.8986495251079,-28.0781038256513,-50.4343931720672,-7.65845472191725,-31.8006151298181,-1.50105055700119,-0.679501008780228,
"            5%",              ,      1.975235,     0.7320708,      2.286175,-1.47323708211206,      3.112922,-6.80957095396282,-2.52675480155357,-13.3960740790589,-12.2146303049776,-24.6685640196619,-46.986587716312,-7.303168439453,-31.0306583510025,-1.36982637697801,-0.610671337726263,
"           95%",              ,      3.005503,      1.483277,      3.098104,     0.5099997,      3.737755,      3.412627,      6.229257,      4.266101,      5.374015,      10.94219,-10.9761751784249,-3.59240060038192,-22.9888875500405,   0.000737281,     0.1082163,
"         97.5%",              ,      3.104145,      1.555201,      3.175842,     0.6998841,      3.797579,      4.391349,      7.067598,       5.95716,      7.058034,      14.35172,-7.5283697226697,-3.23711431791766,-22.2189307712249,     0.1319615,      0.177046,
"         99.5%",              ,      3.298299,      1.696765,       3.32885,      1.073625,      3.915329,       6.31772,      8.717667,      9.285594,      10.37261,      21.06257,-0.742212952611936,-2.5378206825912,-20.7034602859373,      0.390244,     0.3125203,
