scenario_name,has_minimized,cov_time,strm,statm,covm,rse50_check,rse30_check,which_bad_rse
strm_2_statm_3_covm_2_clint_pooled_covs_unchanged,FALSE,00:06:51,2,3,2,TRUE,TRUE,
strm_1_statm_2_covm_3_clint_pooled_covs_unchanged,TRUE,00:04:58,1,2,3,TRUE,TRUE,
strm_2_statm_2_covm_3_clint_pooled_covs_unchanged,TRUE,00:07:30,2,2,3,TRUE,TRUE,
strm_3_statm_2_covm_3_clint_pooled_covs_unchanged,TRUE,01:06:21,3,2,3,FALSE,FALSE,"THETA6__THETA7__THETA8__OMEGA(2,2)"
strm_4_statm_2_covm_3_clint_pooled_covs_unchanged,TRUE,01:25:54,4,2,3,FALSE,FALSE,THETA1__THETA2__THETA3__THETA4__THETA5__THETA6__THETA7__THETA8__THETA9
strm_2_statm_1_covm_3_clint_pooled_covs_unchanged,TRUE,00:07:37,2,1,3,TRUE,TRUE,
strm_2_statm_3_covm_3_clint_pooled_covs_unchanged,TRUE,00:07:56,2,3,3,TRUE,TRUE,
strm_2_statm_4_covm_3_clint_pooled_covs_unchanged,TRUE,00:07:34,2,4,3,TRUE,TRUE,
strm_2_statm_5_covm_3_clint_pooled_covs_unchanged,TRUE,00:07:38,2,5,3,TRUE,FALSE,THETA7
strm_2_statm_6_covm_3_clint_pooled_covs_unchanged,TRUE,00:08:01,2,6,3,TRUE,TRUE,
strm_2_statm_7_covm_3_clint_pooled_covs_unchanged,TRUE,00:07:44,2,7,3,TRUE,TRUE,
strm_2_statm_8_covm_3_clint_pooled_covs_unchanged,TRUE,00:07:38,2,8,3,TRUE,FALSE,"THETA7__OMEGA(2,2)"
strm_2_statm_9_covm_3_clint_pooled_covs_unchanged,TRUE,00:07:38,2,9,3,TRUE,FALSE,"OMEGA(2,2)"
strm_2_statm_10_covm_3_clint_pooled_covs_unchanged,TRUE,00:07:03,2,10,3,TRUE,FALSE,"THETA7__OMEGA(2,2)"
strm_2_statm_11_covm_3_clint_pooled_covs_unchanged,TRUE,00:07:52,2,11,3,TRUE,FALSE,"OMEGA(2,1)"
strm_2_statm_12_covm_3_clint_pooled_covs_unchanged,TRUE,00:07:44,2,12,3,TRUE,TRUE,
strm_2_statm_13_covm_3_clint_pooled_covs_unchanged,TRUE,00:07:46,2,13,3,TRUE,TRUE,
strm_2_statm_1_covm_1_clint_pooled_covs_unchanged,TRUE,00:05:17,2,1,1,TRUE,TRUE,
strm_2_statm_1_covm_2_clint_pooled_covs_unchanged,TRUE,00:07:00,2,1,2,TRUE,TRUE,
strm_2_statm_1_covm_4_clint_pooled_covs_unchanged,TRUE,00:07:35,2,1,4,TRUE,FALSE,THETA8
strm_2_statm_1_covm_5_clint_pooled_covs_unchanged,TRUE,00:06:54,2,1,5,TRUE,TRUE,
strm_2_statm_1_covm_6_clint_pooled_covs_unchanged,TRUE,00:07:52,2,1,6,TRUE,TRUE,
strm_2_statm_1_covm_7_clint_pooled_covs_unchanged,TRUE,00:08:42,2,1,7,FALSE,FALSE,THETA6__THETA8
strm_2_statm_1_covm_8_clint_pooled_covs_unchanged,TRUE,00:06:52,2,1,8,TRUE,TRUE,
strm_2_statm_1_covm_9_clint_pooled_covs_unchanged,TRUE,00:07:33,2,1,9,TRUE,TRUE,
strm_2_statm_1_covm_10_clint_pooled_covs_unchanged,TRUE,00:07:02,2,1,10,TRUE,FALSE,THETA6
strm_2_statm_1_covm_11_clint_pooled_covs_unchanged,TRUE,00:06:53,2,1,11,TRUE,TRUE,
