"name","index","value","fix","label","unit"
"BIO",1,1,FALSE,"Bioavailability",NA
"KA",2,0.75,TRUE,"Absorption rate","1/h"
"VC",3,628,TRUE,"Volume of central compartment","L"
"VP",4,1900,TRUE,"Volume of peripheral compartment","L"
"Q",5,22.9,TRUE,"Inter-compartment flow","L/h"
"CL",6,9.6,TRUE,"Clearance","L/h"
"VMAX",7,25,TRUE,"Maximal elimination rate","mg/h"
"KM",8,2.6,TRUE,"Concentration at 50% max. elimination","mg/L"
"POP_CL_CLCR",9,0.0025,TRUE,"CLCR effect on CL","None"
"POP_CL_BILIRUBIN",10,0.2915,TRUE,"BILIRUBIN effect on CL","None"
