strm_ID,statm_ID,covm_ID,clint,covs,scenario_name,sigma_prop,error_model,type_scenario_error,var_abs,var_centrvol,var_elim,unit_var,corr_elim_centrvol,type_scenario_covar,covar_estim,type_scenario_var,var_VP1,n_comp,POP_centrvol,POP_VP,POP_Q,unit_centrvol,label_centrvol,unit_VP,label_VP,unit_Q,label_Q,absorption,POP_abs,unit_abs,label_abs,elimination,POP_elim,POP_VMAX,POP_KM,unit_elim,label_elim,unit_VMAX,label_VMAX,unit_KM,label_KM,ind_cov_eff,covariates_elim,covariates_centrvol,covariates_abs,data_columns,cont_covs,cat_covs,total_eta_variance_elim,total_unexplained_eta_variance_elim,total_eta_variance_centrvol,total_unexplained_eta_variance_centrvol,total_eta_variance_abs,total_unexplained_eta_variance_abs,sigma_prop_var,total_unexplained_eta_variance_VP1,beta_CLCR_elim,intercept_subtract_CLCR_elim,denominator_CLCR_elim,beta_BILIRUBIN_elim,intercept_subtract_BILIRUBIN_elim,denominator_BILIRUBIN_elim,beta_AGE_elim,intercept_subtract_AGE_elim,denominator_AGE_elim,beta_AFRAMER_elim,beta_OBESE_elim,beta_SEX_elim,beta_WEIGHT_centrvol,intercept_subtract_WEIGHT_centrvol,denominator_WEIGHT_centrvol,beta_ALBUMIN_centrvol,intercept_subtract_ALBUMIN_centrvol,denominator_ALBUMIN_centrvol,beta_AGE_centrvol,intercept_subtract_AGE_centrvol,denominator_AGE_centrvol,beta_AGE_abs,intercept_subtract_AGE_abs,denominator_AGE_abs,beta_BMI_abs,intercept_subtract_BMI_abs,denominator_BMI_abs,cov_elim_centrvol
1,2,3,pooled,unchanged,strm_1_statm_2_covm_3_clint_pooled_covs_unchanged,0.2,proportional,medium,45,45,45,cv%,0.2,low,FALSE,medium,20,1,628,NA,NA,L,Volume of central compartment,L,Volume of peripheral compartment,L/h,Inter-compartment flow,fo,0.75,1/h,Absorption rate,fo,19.2,NA,NA,L/h,Clearance,mg/h,Maximal elimination rate,mg/L,Concentration at 50% max. elimination,1.3,"CLCR-exp, BILIRUBIN-exp",NA,NA,"AGE, WEIGHT, HEIGHT, FAT, SCR, ALT, AST, ALP, ALBUMIN, BILIRUBIN, HISP, WHITE, AFRAMER, ASIAN, SEX, CLCR, BMI, OBESE, ID, AMT, TIME, ADDL, II, EVID, CMT, STUD, MDV","AGE, WEIGHT, HEIGHT, FAT, SCR, ALT, AST, ALP, ALBUMIN, BILIRUBIN, CLCR, BMI","HISP, WHITE, AFRAMER, ASIAN, SEX, OBESE",0.19954307682152816,0.1844027229977793,0.1844027229977793,0.1844027229977793,0.1844027229977793,0.1844027229977793,0.04000000000000001,0.03922071315328133,[0.0021],125.41581196581197,1,[0.2915],0.5,1,[],NA,NA,[],[],[],[],NA,NA,[],NA,NA,[],NA,NA,[],NA,NA,[],NA,NA,0.036880544599555865
2,2,3,pooled,unchanged,strm_2_statm_2_covm_3_clint_pooled_covs_unchanged,0.2,proportional,medium,45,45,45,cv%,0.2,low,FALSE,medium,20,2,628,1900,22.9,L,Volume of central compartment,L,Volume of peripheral compartment,L/h,Inter-compartment flow,fo,0.75,1/h,Absorption rate,fo,19.2,NA,NA,L/h,Clearance,mg/h,Maximal elimination rate,mg/L,Concentration at 50% max. elimination,1.3,"CLCR-exp, BILIRUBIN-exp",NA,NA,"AGE, WEIGHT, HEIGHT, FAT, SCR, ALT, AST, ALP, ALBUMIN, BILIRUBIN, HISP, WHITE, AFRAMER, ASIAN, SEX, CLCR, BMI, OBESE, ID, AMT, TIME, ADDL, II, EVID, CMT, STUD, MDV","AGE, WEIGHT, HEIGHT, FAT, SCR, ALT, AST, ALP, ALBUMIN, BILIRUBIN, CLCR, BMI","HISP, WHITE, AFRAMER, ASIAN, SEX, OBESE",0.19954307682152816,0.1844027229977793,0.1844027229977793,0.1844027229977793,0.1844027229977793,0.1844027229977793,0.04000000000000001,0.03922071315328133,[0.0021],125.41581196581197,1,[0.2915],0.5,1,[],NA,NA,[],[],[],[],NA,NA,[],NA,NA,[],NA,NA,[],NA,NA,[],NA,NA,0.036880544599555865
3,2,3,pooled,unchanged,strm_3_statm_2_covm_3_clint_pooled_covs_unchanged,0.2,proportional,medium,45,45,45,cv%,0.2,low,FALSE,medium,20,2,628,1900,22.9,L,Volume of central compartment,L,Volume of peripheral compartment,L/h,Inter-compartment flow,fo,0.75,1/h,Absorption rate,mm,NA,19.2,0.4,L/h,Clearance,mg/h,Maximal elimination rate,mg/L,Concentration at 50% max. elimination,1.3,"CLCR-exp, BILIRUBIN-exp",NA,NA,"AGE, WEIGHT, HEIGHT, FAT, SCR, ALT, AST, ALP, ALBUMIN, BILIRUBIN, HISP, WHITE, AFRAMER, ASIAN, SEX, CLCR, BMI, OBESE, ID, AMT, TIME, ADDL, II, EVID, CMT, STUD, MDV","AGE, WEIGHT, HEIGHT, FAT, SCR, ALT, AST, ALP, ALBUMIN, BILIRUBIN, CLCR, BMI","HISP, WHITE, AFRAMER, ASIAN, SEX, OBESE",0.19954307682152816,0.1844027229977793,0.1844027229977793,0.1844027229977793,0.1844027229977793,0.1844027229977793,0.04000000000000001,0.03922071315328133,[0.0021],125.41581196581197,1,[0.2915],0.5,1,[],NA,NA,[],[],[],[],NA,NA,[],NA,NA,[],NA,NA,[],NA,NA,[],NA,NA,0.036880544599555865
4,2,3,pooled,unchanged,strm_4_statm_2_covm_3_clint_pooled_covs_unchanged,0.2,proportional,medium,45,45,45,cv%,0.2,low,FALSE,medium,20,2,628,1900,22.9,L,Volume of central compartment,L,Volume of peripheral compartment,L/h,Inter-compartment flow,fo,0.75,1/h,Absorption rate,mixed,9.6,9.6,0.4,L/h,Clearance,mg/h,Maximal elimination rate,mg/L,Concentration at 50% max. elimination,1.3,"CLCR-exp, BILIRUBIN-exp",NA,NA,"AGE, WEIGHT, HEIGHT, FAT, SCR, ALT, AST, ALP, ALBUMIN, BILIRUBIN, HISP, WHITE, AFRAMER, ASIAN, SEX, CLCR, BMI, OBESE, ID, AMT, TIME, ADDL, II, EVID, CMT, STUD, MDV","AGE, WEIGHT, HEIGHT, FAT, SCR, ALT, AST, ALP, ALBUMIN, BILIRUBIN, CLCR, BMI","HISP, WHITE, AFRAMER, ASIAN, SEX, OBESE",0.19954307682152816,0.1844027229977793,0.1844027229977793,0.1844027229977793,0.1844027229977793,0.1844027229977793,0.04000000000000001,0.03922071315328133,[0.0021],125.41581196581197,1,[0.2915],0.5,1,[],NA,NA,[],[],[],[],NA,NA,[],NA,NA,[],NA,NA,[],NA,NA,[],NA,NA,0.036880544599555865
2,1,3,pooled,unchanged,strm_2_statm_1_covm_3_clint_pooled_covs_unchanged,0.2,proportional,medium,45,45,30,cv%,0.2,low,FALSE,low,20,2,628,1900,22.9,L,Volume of central compartment,L,Volume of peripheral compartment,L/h,Inter-compartment flow,fo,0.75,1/h,Absorption rate,fo,19.2,NA,NA,L/h,Clearance,mg/h,Maximal elimination rate,mg/L,Concentration at 50% max. elimination,1.3,"CLCR-exp, BILIRUBIN-exp",NA,NA,"AGE, WEIGHT, HEIGHT, FAT, SCR, ALT, AST, ALP, ALBUMIN, BILIRUBIN, HISP, WHITE, AFRAMER, ASIAN, SEX, CLCR, BMI, OBESE, ID, AMT, TIME, ADDL, II, EVID, CMT, STUD, MDV","AGE, WEIGHT, HEIGHT, FAT, SCR, ALT, AST, ALP, ALBUMIN, BILIRUBIN, CLCR, BMI","HISP, WHITE, AFRAMER, ASIAN, SEX, OBESE",0.10131805006480141,0.08617769624105241,0.1844027229977793,0.1844027229977793,0.1844027229977793,0.1844027229977793,0.04000000000000001,0.03922071315328133,[0.0021],125.41581196581197,1,[0.2915],0.5,1,[],NA,NA,[],[],[],[],NA,NA,[],NA,NA,[],NA,NA,[],NA,NA,[],NA,NA,0.025212220726088815
2,3,3,pooled,unchanged,strm_2_statm_3_covm_3_clint_pooled_covs_unchanged,0.2,proportional,medium,45,45,60,cv%,0.2,low,FALSE,high,20,2,628,1900,22.9,L,Volume of central compartment,L,Volume of peripheral compartment,L/h,Inter-compartment flow,fo,0.75,1/h,Absorption rate,fo,19.2,NA,NA,L/h,Clearance,mg/h,Maximal elimination rate,mg/L,Concentration at 50% max. elimination,1.3,"CLCR-exp, BILIRUBIN-exp",NA,NA,"AGE, WEIGHT, HEIGHT, FAT, SCR, ALT, AST, ALP, ALBUMIN, BILIRUBIN, HISP, WHITE, AFRAMER, ASIAN, SEX, CLCR, BMI, OBESE, ID, AMT, TIME, ADDL, II, EVID, CMT, STUD, MDV","AGE, WEIGHT, HEIGHT, FAT, SCR, ALT, AST, ALP, ALBUMIN, BILIRUBIN, CLCR, BMI","HISP, WHITE, AFRAMER, ASIAN, SEX, OBESE",0.32262505357170945,0.30748469974796055,0.1844027229977793,0.1844027229977793,0.1844027229977793,0.1844027229977793,0.04000000000000001,0.03922071315328133,[0.0021],125.41581196581197,1,[0.2915],0.5,1,[],NA,NA,[],[],[],[],NA,NA,[],NA,NA,[],NA,NA,[],NA,NA,[],NA,NA,0.04762395024089393
2,4,3,pooled,unchanged,strm_2_statm_4_covm_3_clint_pooled_covs_unchanged,0.2,proportional,medium,45,30,30,cv%,0.2,low,FALSE,lowlow,20,2,628,1900,22.9,L,Volume of central compartment,L,Volume of peripheral compartment,L/h,Inter-compartment flow,fo,0.75,1/h,Absorption rate,fo,19.2,NA,NA,L/h,Clearance,mg/h,Maximal elimination rate,mg/L,Concentration at 50% max. elimination,1.3,"CLCR-exp, BILIRUBIN-exp",NA,NA,"AGE, WEIGHT, HEIGHT, FAT, SCR, ALT, AST, ALP, ALBUMIN, BILIRUBIN, HISP, WHITE, AFRAMER, ASIAN, SEX, CLCR, BMI, OBESE, ID, AMT, TIME, ADDL, II, EVID, CMT, STUD, MDV","AGE, WEIGHT, HEIGHT, FAT, SCR, ALT, AST, ALP, ALBUMIN, BILIRUBIN, CLCR, BMI","HISP, WHITE, AFRAMER, ASIAN, SEX, OBESE",0.10131805006480141,0.08617769624105241,0.08617769624105241,0.08617769624105241,0.1844027229977793,0.1844027229977793,0.04000000000000001,0.03922071315328133,[0.0021],125.41581196581197,1,[0.2915],0.5,1,[],NA,NA,[],[],[],[],NA,NA,[],NA,NA,[],NA,NA,[],NA,NA,[],NA,NA,0.017235539248210485
2,5,3,pooled,unchanged,strm_2_statm_5_covm_3_clint_pooled_covs_unchanged,0.2,proportional,medium,45,60,60,cv%,0.2,low,FALSE,highhigh,20,2,628,1900,22.9,L,Volume of central compartment,L,Volume of peripheral compartment,L/h,Inter-compartment flow,fo,0.75,1/h,Absorption rate,fo,19.2,NA,NA,L/h,Clearance,mg/h,Maximal elimination rate,mg/L,Concentration at 50% max. elimination,1.3,"CLCR-exp, BILIRUBIN-exp",NA,NA,"AGE, WEIGHT, HEIGHT, FAT, SCR, ALT, AST, ALP, ALBUMIN, BILIRUBIN, HISP, WHITE, AFRAMER, ASIAN, SEX, CLCR, BMI, OBESE, ID, AMT, TIME, ADDL, II, EVID, CMT, STUD, MDV","AGE, WEIGHT, HEIGHT, FAT, SCR, ALT, AST, ALP, ALBUMIN, BILIRUBIN, CLCR, BMI","HISP, WHITE, AFRAMER, ASIAN, SEX, OBESE",0.32262505357170945,0.30748469974796055,0.30748469974796055,0.30748469974796055,0.1844027229977793,0.1844027229977793,0.04000000000000001,0.03922071315328133,[0.0021],125.41581196581197,1,[0.2915],0.5,1,[],NA,NA,[],[],[],[],NA,NA,[],NA,NA,[],NA,NA,[],NA,NA,[],NA,NA,0.06149693994959211
2,6,3,pooled,unchanged,strm_2_statm_6_covm_3_clint_pooled_covs_unchanged,0.4,proportional,high,45,45,30,cv%,0.2,low,FALSE,low,20,2,628,1900,22.9,L,Volume of central compartment,L,Volume of peripheral compartment,L/h,Inter-compartment flow,fo,0.75,1/h,Absorption rate,fo,19.2,NA,NA,L/h,Clearance,mg/h,Maximal elimination rate,mg/L,Concentration at 50% max. elimination,1.3,"CLCR-exp, BILIRUBIN-exp",NA,NA,"AGE, WEIGHT, HEIGHT, FAT, SCR, ALT, AST, ALP, ALBUMIN, BILIRUBIN, HISP, WHITE, AFRAMER, ASIAN, SEX, CLCR, BMI, OBESE, ID, AMT, TIME, ADDL, II, EVID, CMT, STUD, MDV","AGE, WEIGHT, HEIGHT, FAT, SCR, ALT, AST, ALP, ALBUMIN, BILIRUBIN, CLCR, BMI","HISP, WHITE, AFRAMER, ASIAN, SEX, OBESE",0.10131805006480141,0.08617769624105241,0.1844027229977793,0.1844027229977793,0.1844027229977793,0.1844027229977793,0.16000000000000003,0.03922071315328133,[0.0021],125.41581196581197,1,[0.2915],0.5,1,[],NA,NA,[],[],[],[],NA,NA,[],NA,NA,[],NA,NA,[],NA,NA,[],NA,NA,0.025212220726088815
2,7,3,pooled,unchanged,strm_2_statm_7_covm_3_clint_pooled_covs_unchanged,0.4,proportional,high,45,45,45,cv%,0.2,low,FALSE,medium,20,2,628,1900,22.9,L,Volume of central compartment,L,Volume of peripheral compartment,L/h,Inter-compartment flow,fo,0.75,1/h,Absorption rate,fo,19.2,NA,NA,L/h,Clearance,mg/h,Maximal elimination rate,mg/L,Concentration at 50% max. elimination,1.3,"CLCR-exp, BILIRUBIN-exp",NA,NA,"AGE, WEIGHT, HEIGHT, FAT, SCR, ALT, AST, ALP, ALBUMIN, BILIRUBIN, HISP, WHITE, AFRAMER, ASIAN, SEX, CLCR, BMI, OBESE, ID, AMT, TIME, ADDL, II, EVID, CMT, STUD, MDV","AGE, WEIGHT, HEIGHT, FAT, SCR, ALT, AST, ALP, ALBUMIN, BILIRUBIN, CLCR, BMI","HISP, WHITE, AFRAMER, ASIAN, SEX, OBESE",0.19954307682152816,0.1844027229977793,0.1844027229977793,0.1844027229977793,0.1844027229977793,0.1844027229977793,0.16000000000000003,0.03922071315328133,[0.0021],125.41581196581197,1,[0.2915],0.5,1,[],NA,NA,[],[],[],[],NA,NA,[],NA,NA,[],NA,NA,[],NA,NA,[],NA,NA,0.036880544599555865
